word,count
breaking,3
news,3
local,1
park,1
renovation,1
complete,1
new,3
york,1
city,5
ad,4
summer,1
sale,1
at,1
mall,1
up,2
to,1
off,1
on,2
all,2
items,1
expiration,4
date,4
days,4
left,4
weather,6
forecast,3
london,1
temperature,3
c,3
partly,1
cloudy,1
with,2
a,2
chance,1
of,1
rain,1
technology,1
breakthrough,1
in,2
renewable,1
energy,1
san,1
francisco,1
learn,1
language,1
just,1
months,1
sign,1
now,1
for,1
our,1
online,1
courses,1
tokyo,1
sunny,1
and,1
humid,1
international,1
food,1
festival,1
coming,1
next,1
month,1
paris,1
limited,1
time,1
offer,1
buy,1
one,2
get,1
free,1
electronics,1
sydney,1
windy,1
occasional,1
showers,1
zima,1
blue,1
returns,1
